NodeDepth,y_value,ScorePredit
0,0.00123069,-440.654
1,0.000635831,-453.34
1,0.00891246,-454.506
2,0.00649845,-466.937
2,0.0216853,-469.077
3,0.00956964,-480.14
3,0.0758428,-489.478
4,0.000406504,-491.619
4,0.0325724,-496.151
5,0.0187578,-506.975
5,0.0686736,-514.008
6,0.00694805,-518.081
6,0.0296077,-521.274
7,0.0114595,-531.488
7,0.0720986,-540.032
8,0.00567365,-543.443
8,0.0789556,-553.768
9,0.0495656,-562.398
9,0.0290626,-559.509
10,0.0173407,-570.627
10,0.10215,-582.577
11,0.0844967,-592.86
11,0.0984973,-594.833
12,0.0368986,-598.924
12,0.104746,-608.484
13,0.0104014,-607.961
13,0.101944,-620.859
14,0.00925335,-620.569
14,0.012891,-621.082
15,0.133894,-650.902
15,0.116039,-648.386
16,0.00290088,-645.215
16,0.0668813,-654.23
17,0.0959834,-671.101
17,0.00112826,-657.735
18,0.0844197,-682.242
18,0.0956317,-683.822
19,0.0697475,-692.945
19,0.140498,-702.914
20,0.00863803,-697.105
20,0.148313,-716.786
21,0.0620329,-717.399
21,0.146267,-729.268
22,0.0179405,-723.956
22,0.177941,-746.501
23,0.0404366,-739.896
23,0.157096,-756.334
24,0.000144996,-746.99
24,0.128231,-765.037
25,0.0375397,-765.029
25,0.143485,-779.957
26,0.193099,-799.718
26,0.193577,-799.786
27,0.0443055,-791.523
27,0.0407022,-791.015
28,0.215311,-828.389
28,0.00309701,-798.487
29,0.236878,-844.198
29,0.22506,-842.533
30,0.348133,-872.645
30,0.255522,-859.595
31,0.0131644,-838.217
31,0.0328119,-840.985
32,0.0236924,-852.47
32,0.0283356,-853.125
33,0.0203127,-864.765
33,0.201712,-890.324
34,0.0251579,-878.218
34,0.00243359,-875.016
35,0.00447893,-888.074
35,0.00566158,-888.241
36,0.00355006,-900.714
36,0.00029269,-900.255
37,0.00996459,-914.388
37,0.0133587,-914.866
38,0.210062,-955.353
38,0.195327,-953.277
39,0.130303,-956.885
39,0.275381,-977.327
40,0.0307339,-955.626
40,0.0399696,-956.927
41,0.000662636,-964.159
41,0.00866323,-965.286
42,0.00314881,-977.279
42,0.16751,-1000.44
43,0.00484508,-990.289
43,0.07466,-1000.13
44,0.0153098,-1004.53
44,0.00424692,-1002.97
45,0.00747152,-1016.2
45,0.423284,-1074.79
46,0.00768794,-1029
46,0.00958528,-1029.27
47,0.00762975,-1041.76
47,0.0631967,-1049.59
48,0.0141911,-1055.46
48,0.144796,-1073.86
49,0.0019011,-1066.5
49,0.00738472,-1067.27
50,0.396419,-1134.86
50,0.423135,-1138.62
51,0.416041,-1150.39
51,0.0121592,-1093.48
52,0.0086398,-1105.76
52,0.00924194,-1105.84
53,0.00253538,-1117.67
53,0.0220205,-1120.41
54,0.0131053,-1131.93
54,0.0241064,-1133.48
55,0.00290423,-1143.26
55,0.0471546,-1149.49
56,0.130107,-1173.95
56,0.393987,-1211.14
57,0.427328,-1228.6
57,0.00502956,-1169.1
58,0.000440905,-1181.22
58,0.0257865,-1184.8
59,0.0518706,-1201.24
59,0.0231854,-1197.2
60,0.131814,-1225.28
60,0.464059,-1272.09
61,0.427892,-1279.76
61,0.369785,-1271.58
62,0.294501,-1273.74
62,0.0659634,-1241.54
63,0.202467,-1273.54
63,0.00911312,-1246.3
64,0.0566884,-1265.77
64,0.448447,-1320.97
65,0.417597,-1329.4
65,0.0778751,-1281.53
66,0.427387,-1343.55
66,0.0328151,-1287.95
67,0.446533,-1359.01
67,0.468449,-1362.1
68,0.0125296,-1310.63
68,0.0346076,-1313.74
69,0.0825774,-1333.27
69,0.441444,-1383.84
70,0.0272148,-1338.24
70,0.022367,-1337.56
71,0.0589927,-1355.49
71,0.452396,-1410.92
72,0.0777489,-1370.9
72,0.0996492,-1373.99
73,0.431485,-1433.51
73,0.0447949,-1379.03
74,0.39272,-1440.82
74,0.483165,-1453.57
75,0.446471,-1461.17
75,0.0317656,-1402.73
76,0.0527887,-1418.47
76,0.515439,-1483.66
77,0.447655,-1486.87
77,0.331993,-1470.58
78,0.00780665,-1437.67
78,0.323709,-1482.18
79,0.468354,-1515.33
79,0.468354,-1515.33
80,0.604599,-1547.3
80,0.0143876,-1464.14
81,0.393284,-1530.3
81,0.0984348,-1488.75
82,0.475439,-1554.64
82,0.433333,-1548.71
83,0.108097,-1515.65
83,0.0137594,-1502.36
84,0.114186,-1529.28
84,0.486842,-1581.79
85,0.598684,-1610.32
85,0.00574183,-1526.77
86,0.721414,-1640.38
86,0.0822829,-1550.33
87,0.825,-1667.75
87,0.0124049,-1553.25
88,NO_VAR_CHOSEN_BY_ML,-1,0.0
88,0.075,-1574.84
89,NO_VAR_CHOSEN_BY_ML,-1,0.0
89,0.996894,-1717.51
90,NO_VAR_CHOSEN_BY_ML,-1,0.0
91,0.03125,-1606.99
92,0.937395,-1747.44
92,NO_VAR_CHOSEN_BY_ML,-1,0.0
93,NO_VAR_CHOSEN_BY_ML,-1,0.0
94,NO_VAR_CHOSEN_BY_ML,-1,0.0
95,NO_VAR_CHOSEN_BY_ML,-1,0.0
96,NO_VAR_CHOSEN_BY_ML,-1,0.0
97,NO_VAR_CHOSEN_BY_ML,-1,0.0
97,NO_VAR_CHOSEN_BY_ML,-1,0.0
98,NO_VAR_CHOSEN_BY_ML,-1,0.0
98,0.0506951,-1699.12
99,NO_VAR_CHOSEN_BY_ML,-1,0.0
99,0.985149,-1843.56
100,NO_VAR_CHOSEN_BY_ML,-1,0.0
100,0.0415853,-1723.38
101,NO_VAR_CHOSEN_BY_ML,-1,0.0
101,NO_VAR_CHOSEN_BY_ML,-1,0.0
102,NO_VAR_CHOSEN_BY_ML,-1,0.0
102,NO_VAR_CHOSEN_BY_ML,-1,0.0
103,NO_VAR_CHOSEN_BY_ML,-1,0.0
103,0.20915,-1785.3
104,NO_VAR_CHOSEN_BY_ML,-1,0.0
105,NO_VAR_CHOSEN_BY_ML,-1,0.0
105,NO_VAR_CHOSEN_BY_ML,-1,0.0
106,NO_VAR_CHOSEN_BY_ML,-1,0.0
107,NO_VAR_CHOSEN_BY_ML,-1,0.0
107,NO_VAR_CHOSEN_BY_ML,-1,0.0
108,NO_VAR_CHOSEN_BY_ML,-1,0.0
108,0.0195652,-1822.44
109,NO_VAR_CHOSEN_BY_ML,-1,0.0
109,NO_VAR_CHOSEN_BY_ML,-1,0.0
110,NO_VAR_CHOSEN_BY_ML,-1,0.0
110,NO_VAR_CHOSEN_BY_ML,-1,0.0
111,NO_VAR_CHOSEN_BY_ML,-1,0.0
112,NO_VAR_CHOSEN_BY_ML,-1,0.0
112,0.02,-1873.58
113,NO_VAR_CHOSEN_BY_ML,-1,0.0
113,0.02,-1886.35
114,0.0137741,-1898.24
114,NO_VAR_CHOSEN_BY_ML,-1,0.0
115,NO_VAR_CHOSEN_BY_ML,-1,0.0
116,NO_VAR_CHOSEN_BY_ML,-1,0.0
117,NO_VAR_CHOSEN_BY_ML,-1,0.0
117,0.0230548,-1937.86
118,0.0784314,-1958.43
119,NO_VAR_CHOSEN_BY_ML,-1,0.0
119,0.0944882,-1973.47
120,NO_VAR_CHOSEN_BY_ML,-1,0.0
120,0.855422,-2093.46
121,NO_VAR_CHOSEN_BY_ML,-1,0.0
122,NO_VAR_CHOSEN_BY_ML,-1,0.0
122,0.0474308,-2005.15
123,NO_VAR_CHOSEN_BY_ML,-1,0.0
124,NO_VAR_CHOSEN_BY_ML,-1,0.0
124,NO_VAR_CHOSEN_BY_ML,-1,0.0
125,NO_VAR_CHOSEN_BY_ML,-1,0.0
126,NO_VAR_CHOSEN_BY_ML,-1,0.0
126,0.0336538,-2054.29
127,NO_VAR_CHOSEN_BY_ML,-1,0.0
128,NO_VAR_CHOSEN_BY_ML,-1,0.0
128,0.0539216,-2082.69
129,NO_VAR_CHOSEN_BY_ML,-1,0.0
130,NO_VAR_CHOSEN_BY_ML,-1,0.0
130,NO_VAR_CHOSEN_BY_ML,-1,0.0
131,NO_VAR_CHOSEN_BY_ML,-1,0.0
132,NO_VAR_CHOSEN_BY_ML,-1,0.0
132,NO_VAR_CHOSEN_BY_ML,-1,0.0
133,NO_VAR_CHOSEN_BY_ML,-1,0.0
134,NO_VAR_CHOSEN_BY_ML,-1,0.0
135,NO_VAR_CHOSEN_BY_ML,-1,0.0
135,NO_VAR_CHOSEN_BY_ML,-1,0.0
136,NO_VAR_CHOSEN_BY_ML,-1,0.0
137,NO_VAR_CHOSEN_BY_ML,-1,0.0
138,NO_VAR_CHOSEN_BY_ML,-1,0.0
138,NO_VAR_CHOSEN_BY_ML,-1,0.0
139,NO_VAR_CHOSEN_BY_ML,-1,0.0
139,NO_VAR_CHOSEN_BY_ML,-1,0.0
140,NO_VAR_CHOSEN_BY_ML,-1,0.0
140,0.0569948,-2236.36
141,0.0358744,-2246.16
142,NO_VAR_CHOSEN_BY_ML,-1,0.0
142,NO_VAR_CHOSEN_BY_ML,-1,0.0
143,NO_VAR_CHOSEN_BY_ML,-1,0.0
144,0.0425532,-2285.41
145,NO_VAR_CHOSEN_BY_ML,-1,0.0
145,0.042328,-2298.15
146,NO_VAR_CHOSEN_BY_ML,-1,0.0
146,0.0105042,-2306.43
147,0.019802,-2320.51
148,NO_VAR_CHOSEN_BY_ML,-1,0.0
149,0.0168539,-2345.64
